scenario_id,trial_number,fund_a,fund_b
4438925c-5c3f-4773-aa1d-de52214915b1,1,0,100
4438925c-5c3f-4773-aa1d-de52214915b1,2,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,3,1,98
4438925c-5c3f-4773-aa1d-de52214915b1,4,4,95
4438925c-5c3f-4773-aa1d-de52214915b1,5,10,89
4438925c-5c3f-4773-aa1d-de52214915b1,6,12,87
4438925c-5c3f-4773-aa1d-de52214915b1,7,22,77
4438925c-5c3f-4773-aa1d-de52214915b1,8,23,76
4438925c-5c3f-4773-aa1d-de52214915b1,9,28,71
4438925c-5c3f-4773-aa1d-de52214915b1,10,10,89
4438925c-5c3f-4773-aa1d-de52214915b1,11,12,87
4438925c-5c3f-4773-aa1d-de52214915b1,12,13,86
4438925c-5c3f-4773-aa1d-de52214915b1,13,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,14,4,95
4438925c-5c3f-4773-aa1d-de52214915b1,15,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,16,3,96
4438925c-5c3f-4773-aa1d-de52214915b1,17,4,95
4438925c-5c3f-4773-aa1d-de52214915b1,18,3,96
4438925c-5c3f-4773-aa1d-de52214915b1,19,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,20,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,21,1,98
4438925c-5c3f-4773-aa1d-de52214915b1,22,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,23,9,90
4438925c-5c3f-4773-aa1d-de52214915b1,24,3,96
4438925c-5c3f-4773-aa1d-de52214915b1,25,11,88
4438925c-5c3f-4773-aa1d-de52214915b1,26,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,27,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,28,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,29,14,85
4438925c-5c3f-4773-aa1d-de52214915b1,30,32,67
4438925c-5c3f-4773-aa1d-de52214915b1,31,71,28
4438925c-5c3f-4773-aa1d-de52214915b1,32,36,63
4438925c-5c3f-4773-aa1d-de52214915b1,33,63,36
4438925c-5c3f-4773-aa1d-de52214915b1,34,41,58
4438925c-5c3f-4773-aa1d-de52214915b1,35,71,28
4438925c-5c3f-4773-aa1d-de52214915b1,36,67,32
4438925c-5c3f-4773-aa1d-de52214915b1,37,75,24
4438925c-5c3f-4773-aa1d-de52214915b1,38,86,13
4438925c-5c3f-4773-aa1d-de52214915b1,39,94,5
4438925c-5c3f-4773-aa1d-de52214915b1,40,97,2
4438925c-5c3f-4773-aa1d-de52214915b1,41,95,4
4438925c-5c3f-4773-aa1d-de52214915b1,42,95,4
4438925c-5c3f-4773-aa1d-de52214915b1,43,95,4
4438925c-5c3f-4773-aa1d-de52214915b1,44,54,45
4438925c-5c3f-4773-aa1d-de52214915b1,45,58,41
4438925c-5c3f-4773-aa1d-de52214915b1,46,88,11
4438925c-5c3f-4773-aa1d-de52214915b1,47,93,6
4438925c-5c3f-4773-aa1d-de52214915b1,48,95,4
4438925c-5c3f-4773-aa1d-de52214915b1,49,99,0
4438925c-5c3f-4773-aa1d-de52214915b1,50,98,1
4438925c-5c3f-4773-aa1d-de52214915b1,51,98,1
4438925c-5c3f-4773-aa1d-de52214915b1,52,99,0
4438925c-5c3f-4773-aa1d-de52214915b1,53,98,1
4438925c-5c3f-4773-aa1d-de52214915b1,54,99,0
4438925c-5c3f-4773-aa1d-de52214915b1,55,95,4
4438925c-5c3f-4773-aa1d-de52214915b1,56,90,9
4438925c-5c3f-4773-aa1d-de52214915b1,57,85,14
4438925c-5c3f-4773-aa1d-de52214915b1,58,95,4
4438925c-5c3f-4773-aa1d-de52214915b1,59,95,4
4438925c-5c3f-4773-aa1d-de52214915b1,60,96,3
4438925c-5c3f-4773-aa1d-de52214915b1,61,98,1
4438925c-5c3f-4773-aa1d-de52214915b1,62,97,2
4438925c-5c3f-4773-aa1d-de52214915b1,63,99,0
4438925c-5c3f-4773-aa1d-de52214915b1,64,96,3
4438925c-5c3f-4773-aa1d-de52214915b1,65,95,4
4438925c-5c3f-4773-aa1d-de52214915b1,66,96,3
4438925c-5c3f-4773-aa1d-de52214915b1,67,94,5
4438925c-5c3f-4773-aa1d-de52214915b1,68,99,0
4438925c-5c3f-4773-aa1d-de52214915b1,69,92,7
4438925c-5c3f-4773-aa1d-de52214915b1,70,95,4
4438925c-5c3f-4773-aa1d-de52214915b1,71,88,11
4438925c-5c3f-4773-aa1d-de52214915b1,72,83,16
4438925c-5c3f-4773-aa1d-de52214915b1,73,92,7
4438925c-5c3f-4773-aa1d-de52214915b1,74,62,37
4438925c-5c3f-4773-aa1d-de52214915b1,75,43,56
4438925c-5c3f-4773-aa1d-de52214915b1,76,61,38
4438925c-5c3f-4773-aa1d-de52214915b1,77,56,43
4438925c-5c3f-4773-aa1d-de52214915b1,78,25,74
4438925c-5c3f-4773-aa1d-de52214915b1,79,43,56
4438925c-5c3f-4773-aa1d-de52214915b1,80,34,65
4438925c-5c3f-4773-aa1d-de52214915b1,81,34,65
4438925c-5c3f-4773-aa1d-de52214915b1,82,22,77
4438925c-5c3f-4773-aa1d-de52214915b1,83,28,71
4438925c-5c3f-4773-aa1d-de52214915b1,84,25,74
4438925c-5c3f-4773-aa1d-de52214915b1,85,10,89
4438925c-5c3f-4773-aa1d-de52214915b1,86,9,90
4438925c-5c3f-4773-aa1d-de52214915b1,87,9,90
4438925c-5c3f-4773-aa1d-de52214915b1,88,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,89,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,90,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,91,3,96
4438925c-5c3f-4773-aa1d-de52214915b1,92,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,93,16,83
4438925c-5c3f-4773-aa1d-de52214915b1,94,8,91
4438925c-5c3f-4773-aa1d-de52214915b1,95,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,96,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,97,2,97
4438925c-5c3f-4773-aa1d-de52214915b1,98,1,98
4438925c-5c3f-4773-aa1d-de52214915b1,99,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,100,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,101,1,98
4438925c-5c3f-4773-aa1d-de52214915b1,102,1,98
4438925c-5c3f-4773-aa1d-de52214915b1,103,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,104,0,99
4438925c-5c3f-4773-aa1d-de52214915b1,105,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,106,2,97
4438925c-5c3f-4773-aa1d-de52214915b1,107,12,87
4438925c-5c3f-4773-aa1d-de52214915b1,108,12,87
4438925c-5c3f-4773-aa1d-de52214915b1,109,50,49
4438925c-5c3f-4773-aa1d-de52214915b1,110,34,65
4438925c-5c3f-4773-aa1d-de52214915b1,111,19,80
4438925c-5c3f-4773-aa1d-de52214915b1,112,45,54
4438925c-5c3f-4773-aa1d-de52214915b1,113,15,84
4438925c-5c3f-4773-aa1d-de52214915b1,114,19,80
4438925c-5c3f-4773-aa1d-de52214915b1,115,36,63
4438925c-5c3f-4773-aa1d-de52214915b1,116,35,64
4438925c-5c3f-4773-aa1d-de52214915b1,117,35,64
4438925c-5c3f-4773-aa1d-de52214915b1,118,69,30
4438925c-5c3f-4773-aa1d-de52214915b1,119,53,46
4438925c-5c3f-4773-aa1d-de52214915b1,120,44,55
4438925c-5c3f-4773-aa1d-de52214915b1,121,80,19
4438925c-5c3f-4773-aa1d-de52214915b1,122,73,26
4438925c-5c3f-4773-aa1d-de52214915b1,123,78,21
4438925c-5c3f-4773-aa1d-de52214915b1,124,85,14
4438925c-5c3f-4773-aa1d-de52214915b1,125,79,20
4438925c-5c3f-4773-aa1d-de52214915b1,126,80,19
4438925c-5c3f-4773-aa1d-de52214915b1,127,83,16
4438925c-5c3f-4773-aa1d-de52214915b1,128,81,18
4438925c-5c3f-4773-aa1d-de52214915b1,129,73,26
4438925c-5c3f-4773-aa1d-de52214915b1,130,92,7
4438925c-5c3f-4773-aa1d-de52214915b1,131,82,17
4438925c-5c3f-4773-aa1d-de52214915b1,132,83,16
4438925c-5c3f-4773-aa1d-de52214915b1,133,78,21
4438925c-5c3f-4773-aa1d-de52214915b1,134,76,23
4438925c-5c3f-4773-aa1d-de52214915b1,135,75,24
4438925c-5c3f-4773-aa1d-de52214915b1,136,85,14
4438925c-5c3f-4773-aa1d-de52214915b1,137,67,32
4438925c-5c3f-4773-aa1d-de52214915b1,138,60,39
4438925c-5c3f-4773-aa1d-de52214915b1,139,83,16
4438925c-5c3f-4773-aa1d-de52214915b1,140,73,26
4438925c-5c3f-4773-aa1d-de52214915b1,141,73,26
4438925c-5c3f-4773-aa1d-de52214915b1,142,72,27
4438925c-5c3f-4773-aa1d-de52214915b1,143,63,36
4438925c-5c3f-4773-aa1d-de52214915b1,144,60,39
4438925c-5c3f-4773-aa1d-de52214915b1,145,82,17
4438925c-5c3f-4773-aa1d-de52214915b1,146,89,10
4438925c-5c3f-4773-aa1d-de52214915b1,147,88,11
4438925c-5c3f-4773-aa1d-de52214915b1,148,86,13
4438925c-5c3f-4773-aa1d-de52214915b1,149,74,25
4438925c-5c3f-4773-aa1d-de52214915b1,150,86,13
4438925c-5c3f-4773-aa1d-de52214915b1,151,94,5
4438925c-5c3f-4773-aa1d-de52214915b1,152,93,6
4438925c-5c3f-4773-aa1d-de52214915b1,153,90,9
4438925c-5c3f-4773-aa1d-de52214915b1,154,94,5
4438925c-5c3f-4773-aa1d-de52214915b1,155,85,14
4438925c-5c3f-4773-aa1d-de52214915b1,156,77,22
4438925c-5c3f-4773-aa1d-de52214915b1,157,60,39
4438925c-5c3f-4773-aa1d-de52214915b1,158,42,57
4438925c-5c3f-4773-aa1d-de52214915b1,159,30,69
4438925c-5c3f-4773-aa1d-de52214915b1,160,17,82
4438925c-5c3f-4773-aa1d-de52214915b1,161,14,85
4438925c-5c3f-4773-aa1d-de52214915b1,162,7,92
4438925c-5c3f-4773-aa1d-de52214915b1,163,11,88
4438925c-5c3f-4773-aa1d-de52214915b1,164,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,165,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,166,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,167,4,95
4438925c-5c3f-4773-aa1d-de52214915b1,168,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,169,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,170,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,171,7,92
4438925c-5c3f-4773-aa1d-de52214915b1,172,2,97
4438925c-5c3f-4773-aa1d-de52214915b1,173,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,174,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,175,4,95
4438925c-5c3f-4773-aa1d-de52214915b1,176,4,95
4438925c-5c3f-4773-aa1d-de52214915b1,177,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,178,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,179,17,82
4438925c-5c3f-4773-aa1d-de52214915b1,180,29,70
4438925c-5c3f-4773-aa1d-de52214915b1,181,14,85
4438925c-5c3f-4773-aa1d-de52214915b1,182,20,79
4438925c-5c3f-4773-aa1d-de52214915b1,183,55,44
4438925c-5c3f-4773-aa1d-de52214915b1,184,40,59
4438925c-5c3f-4773-aa1d-de52214915b1,185,8,91
4438925c-5c3f-4773-aa1d-de52214915b1,186,5,94
4438925c-5c3f-4773-aa1d-de52214915b1,187,10,89
4438925c-5c3f-4773-aa1d-de52214915b1,188,6,93
4438925c-5c3f-4773-aa1d-de52214915b1,189,33,66
4438925c-5c3f-4773-aa1d-de52214915b1,190,65,34
4438925c-5c3f-4773-aa1d-de52214915b1,191,65,34
4438925c-5c3f-4773-aa1d-de52214915b1,192,55,44
4438925c-5c3f-4773-aa1d-de52214915b1,193,26,73
4438925c-5c3f-4773-aa1d-de52214915b1,194,36,63
4438925c-5c3f-4773-aa1d-de52214915b1,195,43,56
4438925c-5c3f-4773-aa1d-de52214915b1,196,19,80
4438925c-5c3f-4773-aa1d-de52214915b1,197,26,73
4438925c-5c3f-4773-aa1d-de52214915b1,198,31,68
4438925c-5c3f-4773-aa1d-de52214915b1,199,25,74
4438925c-5c3f-4773-aa1d-de52214915b1,200,21,78
4438925c-5c3f-4773-aa1d-de52214915b1,201,11,88
4438925c-5c3f-4773-aa1d-de52214915b1,202,9,90
4438925c-5c3f-4773-aa1d-de52214915b1,203,8,91
4438925c-5c3f-4773-aa1d-de52214915b1,204,9,90
